scheme,gez_name,zone,soil,area_ha,n_cells
main,Boreal coniferous forest,Boreal,Organic,110863253.0,25952
main,Boreal coniferous forest,Boreal,SAN,1161680.8,286
main,Boreal coniferous forest,Boreal,WET,76416045.2,19952
main,Boreal coniferous forest,Boreal,VOL,1127704.6,309
main,Boreal coniferous forest,Boreal,POD,370990609.6,85786
main,Boreal coniferous forest,Boreal,HAC,252528680.8,58611
main,Boreal coniferous forest,Boreal,LAC,8285684.3,1685
main,Boreal coniferous forest,Boreal,Other,18192755.3,4171
main,Boreal mountain system,Boreal,Organic,15555042.1,3484
main,Boreal mountain system,Boreal,SAN,5746366.3,1602
main,Boreal mountain system,Boreal,WET,87765121.3,22575
main,Boreal mountain system,Boreal,VOL,16848326.5,3496
main,Boreal mountain system,Boreal,POD,202687537.6,46298
main,Boreal mountain system,Boreal,HAC,281303549.8,65066
main,Boreal mountain system,Boreal,LAC,151890.9,33
main,Boreal mountain system,Boreal,Other,22062980.0,5155
main,Boreal tundra woodland,Boreal,Organic,68835400.4,15862
main,Boreal tundra woodland,Boreal,SAN,1171264.5,345
main,Boreal tundra woodland,Boreal,WET,88744003.1,24775
main,Boreal tundra woodland,Boreal,POD,65016270.1,15642
main,Boreal tundra woodland,Boreal,HAC,165754284.8,43972
main,Boreal tundra woodland,Boreal,LAC,4220504.5,926
main,Boreal tundra woodland,Boreal,Other,18723473.1,5017
main,Polar,Polar,Organic,7761933.4,2357
main,Polar,Polar,SAN,1602159.4,542
main,Polar,Polar,WET,102637060.8,32355
main,Polar,Polar,VOL,3420511.4,700
main,Polar,Polar,POD,6640260.7,1927
main,Polar,Polar,HAC,399761650.6,143069
main,Polar,Polar,LAC,344298.0,62
main,Polar,Polar,Other,227449239.4,99946
main,Subtropical desert,W2,SAN,120048316.1,15718
main,Subtropical desert,W2,POD,7190.9,1
main,Subtropical desert,W2,HAC,385544658.2,51504
main,Subtropical desert,W2,LAC,37355.7,5
main,Subtropical desert,W2,Other,24369401.7,3261
main,Subtropical dry forest,W2,Organic,86068.5,13
main,Subtropical dry forest,W2,SAN,5720583.7,808
main,Subtropical dry forest,W2,WET,223048.0,34
main,Subtropical dry forest,W2,VOL,2422308.0,359
main,Subtropical dry forest,W2,POD,2723352.5,393
main,Subtropical dry forest,W2,HAC,141248863.3,20958
main,Subtropical dry forest,W2,LAC,5628759.7,802
main,Subtropical dry forest,W2,Other,838653.6,128
main,Subtropical humid forest,W1,Organic,2159547.6,295
main,Subtropical humid forest,W1,SAN,9822751.5,1354
main,Subtropical humid forest,W1,WET,14196374.8,1963
main,Subtropical humid forest,W1,VOL,6319703.4,923
main,Subtropical humid forest,W1,POD,7549047.5,1011
main,Subtropical humid forest,W1,HAC,242083882.5,33076
main,Subtropical humid forest,W1,LAC,178731834.8,24143
main,Subtropical humid forest,W1,Other,6370432.8,865
main,Subtropical mountain system,W1,SAN,1811899.9,250
main,Subtropical mountain system,W1,WET,729705.7,100
main,Subtropical mountain system,W1,VOL,3515588.1,489
main,Subtropical mountain system,W1,POD,517824.7,72
main,Subtropical mountain system,W1,HAC,426815369.6,59329
main,Subtropical mountain system,W1,LAC,34625592.6,4687
main,Subtropical mountain system,W1,Other,25139256.6,3507
main,Subtropical steppe,W2,Organic,37208.0,5
main,Subtropical steppe,W2,SAN,14325177.5,1992
