zone,pathway,area_dominant_ha,area_share_ha,n_rows,mean_SHARE,mean_T_OC
T4,Unclassified,1739723012.9,752421414.3,6463,45.4,0.82
T4,Other mineral soil,1105270526.3,681860702.2,18929,67.4,0.62
C1,Other mineral soil,1012475245.9,820675751.6,70383,86.6,1.1
Boreal,Other mineral soil,943106353.0,784859259.4,13996,77.2,1.74
W2,Unclassified,872349665.1,397990363.4,3946,44.1,0.73
T2,Other mineral soil,834258151.4,474880281.2,2011,63.3,1.31
C2,Other mineral soil,741876173.0,570226727.8,13390,97.6,1.09
T3,Other mineral soil,650148898.8,362507590.1,4343,74.6,1.13
Boreal,Unclassified,627352573.4,329688591.1,4183,39.4,3.69
Polar,Unclassified,574013652.0,236788279.5,5953,66.4,1.02
T2,Unclassified,563444459.1,254197265.8,7257,44.3,3.18
W1,Other mineral soil,560563597.2,437686980.1,84813,97.4,1.19
C1,Unclassified,501325686.2,263995871.8,10387,43.7,2.18
W1,Unclassified,432725622.3,185417196.1,8969,32.6,2.62
T3,Unclassified,402956540.6,189055752.7,2358,47.0,1.7
C2,Unclassified,387862045.2,214368381.9,2288,58.8,0.99
T1,Other mineral soil,315305132.3,187908097.9,5565,83.9,1.45
W2,Other mineral soil,248119979.6,134682036.2,7205,58.7,0.95
Boreal,Wetland mineral soil,207513511.1,158826503.9,2755,84.9,2.33
T1,Unclassified,142364811.8,46085401.3,548,45.8,2.48
Polar,Other mineral soil,113217956.4,79466979.6,2060,75.8,1.27
Boreal,Organic soil,103923581.7,88814014.9,4111,92.8,34.43
T2,Wetland mineral soil,79464608.4,48760406.5,303,75.0,1.21
Polar,Wetland mineral soil,72424413.6,35699797.3,1325,48.5,2.46
Water,Unclassified,46846865.4,3174822.7,161,45.5,1.31
C1,Wetland mineral soil,38610042.2,31952468.2,3966,84.3,1.53
T3,Wetland mineral soil,37428836.6,22112818.9,1011,74.7,1.12
C2,Wetland mineral soil,28001448.1,18872239.1,866,98.1,1.53
C1,Organic soil,22003962.6,18072190.2,2851,79.3,35.29
Polar,Organic soil,6390253.3,5037476.2,269,78.8,34.68
Water,Other mineral soil,6163993.8,4070541.2,218,78.6,1.31
T4,Wetland mineral soil,4170016.3,2787328.8,857,78.5,1.03
T3,Organic soil,2229268.2,1166744.7,26,57.7,36.33
W1,Wetland mineral soil,1849365.0,1830454.9,1524,99.6,1.28
T4,Organic soil,1811831.9,1316454.6,24,93.5,12.7
Unassigned,Unclassified,1062981.4,483445.0,2660,56.1,2.45
Unassigned,Other mineral soil,488680.7,291083.1,1505,65.3,1.26
T2,Organic soil,461150.9,446715.2,3,80.0,23.98
T1,Organic soil,452823.7,335730.3,71,56.2,24.0
W2,Wetland mineral soil,419950.3,310943.7,53,59.3,0.87
Water,Wetland mineral soil,338909.1,300905.7,32,83.8,1.74
C2,Organic soil,320904.7,320904.7,22,100.0,35.62
T1,Wetland mineral soil,128766.6,115279.0,65,79.8,2.07
W2,Organic soil,45359.3,29611.7,7,66.4,38.58
Unassigned,Wetland mineral soil,43792.9,24591.5,219,59.5,1.74
W1,Organic soil,10791.0,10791.0,7,100.0,36.93
Unassigned,Organic soil,10092.1,7297.9,116,74.7,30.72
Water,Organic soil,1728.2,1728.2,2,100.0,33.63
