"salinity_class","stratum","area_ha","n_polygons"
"Not surveyed","Annex I saltmarsh, confirmed",1149.6,1470
"Outside any transitional water body","Annex I saltmarsh, potential",1028.8,1121
"Not surveyed","Spartina sward",974,745
"Outside any transitional water body","Annex I saltmarsh, confirmed",893.3,3983
"Not surveyed","Other, non-Annex",879.2,816
"Outside any transitional water body","Other, non-Annex",842.9,2445
"Not surveyed","Annex I saltmarsh, potential",785.8,617
"Outside any transitional water body","Spartina sward",320.1,458
"Not surveyed","Mudflat/sandflat (not saltmarsh)",278.4,220
"Spans 18 ppt","Annex I saltmarsh, confirmed",225.1,614
"Spans 18 ppt","Other, non-Annex",124,251
"Spans 18 ppt","Annex I saltmarsh, potential",88.2,94
"Spans 18 ppt","Mudflat/sandflat (not saltmarsh)",76.8,59
"Outside any transitional water body","Mudflat/sandflat (not saltmarsh)",72.9,88
"Spans 18 ppt","Spartina sward",49,90
