"assoc_symbol","assoc_name","drainage","texture","depth","soc_present","area_ha_geom","area_ha_stated","n_polygons","soc"
"1xx","01_Bk","Poor","Peat","(none)",FALSE,1643401.10592524,1643401.10468249,3754,NA
"1000a","1000a","moderately","Fine loamy",">80",TRUE,388458.714227049,388458.71421941,386,121.61316172
"1000x","1000x","moderately","Fine loamy",">80",TRUE,379609.027280632,379609.02725258,277,121.61316172
"1100a","1100a","Well","Fine loamy",">80",TRUE,368526.848309578,368526.84813168,252,129.44465676
"0700b","700b","Poor","Fine loamy",">80",TRUE,330755.051658655,330755.05168021,290,159.73063383
"0900e","900e","Well","Coarse loamy",">80",TRUE,245385.006833619,245385.00704434,125,136.29838954
"05RIV","5RIV","Poor","All",">80",TRUE,231681.731926941,231681.73207753,1878,173.76511738
"Rock","Rock","Other","(none)","(none)",FALSE,212790.812450649,212641.21697069,3972,NA
"1000c","1000c","moderately","Fine loamy",">80",TRUE,191558.722801358,191558.72256369,232,137.58197424
"1100n","1100n","Well","Coarse loamy",">80",TRUE,166800.498737872,167716.11248762,182,128.26645735
"0700h","700h","Poor","Fine loamy",">80",TRUE,165129.781449296,165129.78125919,190,153.49075013
"1100q","1100q","Well","Coarse loamy",">80",TRUE,140480.509057823,140480.50898185,226,120.58580678
"1100e","1100e","Well","Fine loamy",">80",TRUE,138334.373095723,138334.3729904,62,128.26645735
"Water body","Water body","Other","(none)","(none)",FALSE,132699.248780274,132699.2490407,1673,NA
"1100s","1100s","Well","Fine loamy",">80",TRUE,126892.722323422,126892.7223451,64,151.7317648
"1030a","1030a","imperfectly","Fine loamy","40-80",TRUE,109819.937561096,110293.19443205,200,121.13635897
"1150b","1150b","Well","Fine loamy","40-80",TRUE,96619.832888918,96619.83298107,61,109.83915835
"0410a","410a","imperfectly","Peat","0-40",TRUE,93716.7855931304,93716.78540787,519,277.14565101
"Urban","Urban","Other","(none)","(none)",FALSE,92726.2615881819,92726.26163523,1563,NA
"1100c","1100c","Well","Coarse loamy",">80",TRUE,91714.4078304527,91714.40781058,94,131.27971921
"1150c","1150c","Well","Fine loamy",">80",TRUE,90115.2639427581,90115.26392153,120,116.36430791
"0760c","760c","Poor","Clayey","40-80",TRUE,83429.0871440099,83429.08705263,108,135.43095239
