"climate","soil","n","mean","sd","median","mad","bias_pct","cv_pct"
"T1","HAC",114,51,28,46,20,10.9,54.9
"T1","LAC",84,44,22,36,12,22.2,50
"T1","SAN",11,52,30,47,14,10.6,57.7
"T1","VOL",10,96,48,74,16,29.7,50
"T1","WET",12,82,73,58,36,41.4,89
"T2","HAC",137,60,30,53,19,13.2,50
"T2","LAC",271,52,25,46,16,13,48.1
"T2","SAN",43,46,31,41,22,12.2,67.4
"T2","VOL",14,77,40,66,22,16.7,51.9
"T2","WET",33,49,27,49,16,0,55.1
"T3","HAC",226,40,22,35,14,14.3,55
"T3","LAC",326,38,19,33,12,15.2,50
"T3","SAN",76,27,15,23,11,17.4,55.6
"T3","WET",55,68,45,53,24,28.3,66.2
"T4","HAC",554,21,13,17,7,23.5,61.9
"T4","LAC",135,19,11,17,7,11.8,57.9
"T4","SAN",164,9,5,8,3,12.5,55.6
"T4","WET",32,22,11,20,7,10,50
"W1","HAC",489,64,33,59,21,8.5,51.6
"W1","LAC",183,55,29,50,19,10,52.7
"W1","SAN",39,36,26,29,11,24.1,72.2
"W1","POD",9,143,65,142,54,0.7,45.5
"W1","VOL",42,138,56,143,28,-3.5,40.6
"W1","WET",28,135,101,94,49,43.6,74.8
"W2","HAC",781,24,16,19,9,26.3,66.7
"W2","LAC",41,19,10,18,7,5.6,52.6
"W2","SAN",338,10,5,9,3,11.1,50
"W2","VOL",10,84,88,33,23,154.5,104.8
"W2","WET",49,74,45,66,34,12.1,60.8
"C1","HAC",334,81,40,74,28,9.5,49.4
"C1","LAC",6,76,48,66,18,15.2,63.2
"C1","SAN",126,51,39,42,22,21.4,76.5
"C1","POD",45,128,61,115,41,11.3,47.7
"C1","VOL",28,136,52,137,28,-0.7,38.2
"C1","WET",42,128,55,113,36,13.3,43
"C2","HAC",177,43,24,38,17,13.2,55.8
"C2","SAN",10,13,7,12,3,8.3,53.8
